Measure Info,Geo Place Name,Time Period,Start_Date,Data Value
mcg/m3,Canarsie - Flatlands,Summer 2021,06/01/2021,8
mcg/m3,Canarsie - Flatlands,Annual Average 2017,01/01/2017,7
mcg/m3,Jamaica,Annual Average 2021,01/01/2021,6.4
mcg/m3,Gramercy Park - Murray Hill,Annual Average 2017,01/01/2017,10.3
mcg/m3,Gramercy Park - Murray Hill,Annual Average 2021,01/01/2021,8.2
mcg/m3,Hunts Point - Mott Haven,Annual Average 2018,01/01/2018,7.9
mcg/m3,Gramercy Park - Murray Hill,Annual Average 2018,01/01/2018,10.3
mcg/m3,Southwest Queens,Annual Average 2018,01/01/2018,6.6
mcg/m3,Greenwich Village - SoHo,Summer 2013,06/01/2013,12
ppb,Canarsie - Flatlands,Annual Average 2017,01/01/2017,15.6
ppb,Gramercy Park - Murray Hill,Annual Average 2017,01/01/2017,30.3
ppb,Jamaica,Annual Average 2013,12/01/2012,19
ppb,Greenwich Village - SoHo,Summer 2009,06/01/2009,31.6
ppb,Greenwich Village - SoHo,Winter 2014-15,12/01/2014,30.2
ppb,Greenwich Village - SoHo,Annual Average 2017,01/01/2017,25.6
ppb,Southwest Queens,Summer 2009,06/01/2009,18.6
mcg/m3,Greenwich Village - SoHo,Summer 2021,06/01/2021,10.2
mcg/m3,Brooklyn,Summer 2012,06/01/2012,10.4
mcg/m3,Brooklyn,Summer 2013,06/01/2013,10.3
mcg/m3,Brooklyn,Annual Average 2016,12/31/2015,7.8
mcg/m3,Canarsie - Flatlands,Winter 2021-22,12/01/2021,6.4
mcg/m3,Downtown - Heights - Slope,Winter 2014-15,12/01/2014,10.1
mcg/m3,Downtown - Heights - Slope,Annual Average 2017,01/01/2017,8.4
mcg/m3,Washington Heights,Annual Average 2013,12/01/2012,9.5
mcg/m3,Washington Heights,Summer 2009,06/01/2009,11
mcg/m3,Washington Heights,Annual Average 2017,01/01/2017,7.8
mcg/m3,Northeast Bronx,Winter 2010-11,12/01/2010,13.4
mcg/m3,Gramercy Park - Murray Hill,Summer 2014,06/01/2014,12.4
ppb,Jamaica,Summer 2022,06/01/2022,10.5
ppb,Gramercy Park - Murray Hill,Annual Average 2016,12/31/2015,30.1
ppb,Jamaica,Summer 2012,06/01/2012,16.2
ppb,Greenwich Village - SoHo,Summer 2021,06/01/2021,17.9
ppb,Greenwich Village - SoHo,Winter 2021-22,12/01/2021,24.7
mcg/m3,Washington Heights,Summer 2013,06/01/2013,10.4
mcg/m3,Greenpoint,Annual Average 2017,01/01/2017,9
mcg/m3,Greenpoint,Summer 2013,06/01/2013,11.5
mcg/m3,Greenpoint,Winter 2021-22,12/01/2021,7.4
ppb,Greenpoint,Annual Average 2017,01/01/2017,21.2
ppb,Washington Heights,Annual Average 2017,01/01/2017,20.6
ppb,Long Island City - Astoria,Winter 2010-11,12/01/2010,31.5
ppb,Greenpoint,Summer 2022,06/01/2022,14.1
ppb,Washington Heights,Summer 2022,06/01/2022,13.5
mcg/m3,Washington Heights,Winter 2021-22,12/01/2021,7.3
mcg/m3,Port Richmond,Annual Average 2016,12/31/2015,7.3
mcg/m3,Kingsbridge - Riverdale,Annual Average 2018,01/01/2018,7
mcg/m3,Bensonhurst - Bay Ridge,Winter 2014-15,12/01/2014,8.5
mcg/m3,Williamsburg - Bushwick,Winter 2014-15,12/01/2014,10
mcg/m3,Williamsburg - Bushwick,Annual Average 2017,01/01/2017,8.2
mcg/m3,Williamsburg - Bushwick,Annual Average 2013,12/01/2012,9.4
ppb,Greenpoint,Winter 2021-22,12/01/2021,23.7
ppb,Washington Heights,Annual Average 2016,12/31/2015,19.9
ppb,Washington Heights,Winter 2021-22,12/01/2021,21.2
ppb,Greenpoint,Annual Average 2013,12/01/2012,22.9
ppb,Greenpoint,Winter 2010-11,12/01/2010,32.2
ppb,Greenpoint,Winter 2014-15,12/01/2014,26.8
mcg/m3,Throgs Neck and Co-op City (CD10),Annual Average 2017,01/01/2017,7.5
mcg/m3,Throgs Neck and Co-op City (CD10),Annual Average 2021,01/01/2021,6.5
mcg/m3,Throgs Neck and Co-op City (CD10),Winter 2010-11,12/01/2010,13.1
mcg/m3,Williamsbridge and Baychester (CD12),Summer 2009,06/01/2009,10.2
mcg/m3,Throgs Neck and Co-op City (CD10),Summer 2021,06/01/2021,8.4
mcg/m3,Jamaica and Hollis (CD12),Winter 2021-22,12/01/2021,6.6
mcg/m3,South Ozone Park and Howard Beach (CD10),Annual Average 2016,12/31/2015,6.9
mcg/m3,Throgs Neck and Co-op City (CD10),Annual Average 2018,01/01/2018,6.9
mcg/m3,South Ozone Park and Howard Beach (CD10),Summer 2021,06/01/2021,7.8
mcg/m3,Jamaica and Hollis (CD12),Summer 2012,06/01/2012,10
mcg/m3,Jamaica and Hollis (CD12),Summer 2013,06/01/2013,10.1
mcg/m3,Williamsburg - Bushwick,Annual Average 2009,12/01/2008,11.4
ppb,East New York,Summer 2022,06/01/2022,10.9
ppb,Upper West Side,Annual Average 2016,12/31/2015,23.2
ppb,Upper West Side,Annual Average 2018,01/01/2018,22.2
ppb,Upper West Side,Summer 2021,06/01/2021,15.7
ppb,Pelham - Throgs Neck,Annual Average 2016,12/31/2015,17.9
ppb,Williamsburg - Bushwick,Annual Average 2018,01/01/2018,21
ppb,Upper West Side,Winter 2021-22,12/01/2021,22.1
ppb,Pelham - Throgs Neck,Winter 2021-22,12/01/2021,21.8
mcg/m3,Williamsburg - Bushwick,Summer 2014,06/01/2014,10.9
mcg/m3,Williamsburg - Bushwick,Annual Average 2015,01/01/2015,9.6
mcg/m3,Pelham - Throgs Neck,Annual Average 2009,12/01/2008,10.6
mcg/m3,Pelham - Throgs Neck,Annual Average 2011,12/01/2010,10.5
mcg/m3,Kingsbridge Heights and Bedford (CD7),Annual Average 2013,12/01/2012,9.4
mcg/m3,Sunset Park (CD7),Annual Average 2013,12/01/2012,9.2
mcg/m3,Kingsbridge Heights and Bedford (CD7),Summer 2012,06/01/2012,10.6
mcg/m3,Kingsbridge Heights and Bedford (CD7),Summer 2013,06/01/2013,10.6
mcg/m3,Kingsbridge Heights and Bedford (CD7),Annual Average 2018,01/01/2018,7.4
mcg/m3,Kingsbridge Heights and Bedford (CD7),Summer 2021,06/01/2021,8.7
mcg/m3,Kingsbridge Heights and Bedford (CD7),Winter 2021-22,12/01/2021,7.4
mcg/m3,Rockaway and Broad Channel (CD14),Summer 2012,06/01/2012,9.4
mcg/m3,Rockaway and Broad Channel (CD14),Summer 2013,06/01/2013,9.4
mcg/m3,Sunset Park (CD7),Winter 2021-22,12/01/2021,7.3
mcg/m3,Upper West Side (CD7),Summer 2013,06/01/2013,11.4
mcg/m3,Upper West Side (CD7),Summer 2012,06/01/2012,11.4
mcg/m3,Flushing and Whitestone (CD7),Summer 2021,06/01/2021,8.3
mcg/m3,Flushing and Whitestone (CD7),Winter 2021-22,12/01/2021,7
mcg/m3,Rockaway and Broad Channel (CD14),Summer 2009,06/01/2009,9.6
mcg/m3,Rockaway and Broad Channel (CD14),Annual Average 2013,12/01/2012,7.6
mcg/m3,Rockaway and Broad Channel (CD14),Winter 2010-11,12/01/2010,10.3
mcg/m3,Upper West Side (CD7),Summer 2009,06/01/2009,12.1
ppb,Southwest Queens,Summer 2013,06/01/2013,16.6
ppb,Southwest Queens,Annual Average 2018,01/01/2018,17.2
mcg/m3,Bushwick (CD4),Winter 2014-15,12/01/2014,9.4
mcg/m3,Bushwick (CD4),Annual Average 2018,01/01/2018,7.5
mcg/m3,Bushwick (CD4),Winter 2021-22,12/01/2021,7.3
mcg/m3,Bedford Stuyvesant (CD3),Summer 2021,06/01/2021,8.8
mcg/m3,Bedford Stuyvesant (CD3),Annual Average 2016,12/31/2015,8.1
mcg/m3,Jackson Heights (CD3),Annual Average 2017,01/01/2017,7.2
mcg/m3,Bedford Stuyvesant (CD3),Annual Average 2021,01/01/2021,6.8
ppb,Brooklyn,Annual Average 2017,01/01/2017,18.5
ppb,East Flatbush - Flatbush,Summer 2009,06/01/2009,21.4
ppb,Canarsie - Flatlands,Winter 2015-16,12/01/2015,20.9
ppb,Jamaica,Summer 2010,06/01/2010,17.9
ppb,Jamaica,Summer 2016,06/01/2016,13.1
ppb,Gramercy Park - Murray Hill,Winter 2020-21,12/01/2020,27
ppb,Canarsie - Flatlands,Winter 2020-21,12/01/2020,21.2
ppb,East Flatbush - Flatbush,Summer 2010,06/01/2010,19
ppb,Gramercy Park - Murray Hill,Summer 2021,06/01/2021,20.2
ppb,Jamaica,Annual Average 2009,12/01/2008,22.3
ppb,Bushwick (CD4),Winter 2019-20,12/01/2019,27.7
ppb,Elmhurst and Corona (CD4),Winter 2012-13,12/01/2012,26.7
ppb,Bushwick (CD4),Summer 2015,06/01/2015,15.5
"per 100,000 children",Canarsie - Flatlands,2009-2011,01/01/2009,81.7
"per 100,000 children",Southwest Queens,2009-2011,01/01/2009,80
"per 100,000 children",East Flatbush - Flatbush,2009-2011,01/01/2009,115.8
"per 100,000 children",Jamaica,2015-2017,01/01/2015,69.6
"per 100,000 children",Southwest Queens,2015-2017,01/01/2015,43
mcg/m3,Highbridge and Concourse (CD4),Winter 2010-11,12/01/2010,14.9
mcg/m3,Highbridge and Concourse (CD4),Annual Average 2013,12/01/2012,10
mcg/m3,Lower East Side and Chinatown (CD3),Annual Average 2017,01/01/2017,8.4
mcg/m3,Lower East Side and Chinatown (CD3),Annual Average 2021,01/01/2021,7.6
mcg/m3,Morrisania and Crotona (CD3),Annual Average 2017,01/01/2017,7.9
mcg/m3,Jamaica and Hollis (CD12),Annual Average 2018,01/01/2018,6.7
mcg/m3,Williamsbridge and Baychester (CD12),Annual Average 2018,01/01/2018,7
mcg/m3,Upper East Side (CD8),Annual Average 2018,01/01/2018,8.7
mcg/m3,South Ozone Park and Howard Beach (CD10),Summer 2013,06/01/2013,9.7
mcg/m3,Jamaica and Hollis (CD12),Annual Average 2017,01/01/2017,7.1
mcg/m3,Jamaica and Hollis (CD12),Summer 2009,06/01/2009,10.1
mcg/m3,Jamaica and Hollis (CD12),Winter 2010-11,12/01/2010,11.8
mcg/m3,Jamaica and Hollis (CD12),Annual Average 2013,12/01/2012,8.3
mcg/m3,Williamsbridge and Baychester (CD12),Annual Average 2017,01/01/2017,7.4
mcg/m3,Upper East Side (CD8),Annual Average 2021,01/01/2021,7
ppb,Port Richmond,Winter 2014-15,12/01/2014,22.7
ppb,Washington Heights,Winter 2015-16,12/01/2015,23.4
ppb,Greenpoint,Summer 2011,06/01/2011,21.3
ppb,Greenpoint,Annual Average 2016,12/31/2015,21.4
ppb,Jamaica and Hollis (CD12),Winter 2012-13,12/01/2012,23.1
ppb,Jamaica and Hollis (CD12),Annual Average 2010,12/01/2009,21.3
ppb,Jamaica and Hollis (CD12),Summer 2019,06/01/2019,13.3
ppb,Jamaica and Hollis (CD12),Winter 2019-20,12/01/2019,22.3
ppb,Williamsbridge and Baychester (CD12),Winter 2012-13,12/01/2012,22
ppb,Throgs Neck and Co-op City (CD10),Annual Average 2010,12/01/2009,19.8
ppb,Throgs Neck and Co-op City (CD10),Winter 2012-13,12/01/2012,21
"per 100,000 children",Washington Heights,2015-2017,01/01/2015,81.6
mcg/m3,South Ozone Park and Howard Beach (CD10),Summer 2009,06/01/2009,10
mcg/m3,South Ozone Park and Howard Beach (CD10),Annual Average 2013,12/01/2012,8
mcg/m3,South Ozone Park and Howard Beach (CD10),Annual Average 2017,01/01/2017,6.8
mcg/m3,South Ozone Park and Howard Beach (CD10),Annual Average 2021,01/01/2021,6.2
mcg/m3,Central Harlem (CD10),Annual Average 2017,01/01/2017,7.9
mcg/m3,Washington Heights and Inwood (CD12),Annual Average 2021,01/01/2021,6.9
mcg/m3,Williamsbridge and Baychester (CD12),Winter 2010-11,12/01/2010,13.4
mcg/m3,Williamsbridge and Baychester (CD12),Annual Average 2013,12/01/2012,8.7
ppb,Southeast Queens,Annual Average 2013,12/01/2012,16.8
ppb,Southeast Queens,Winter 2014-15,12/01/2014,22.7
ppb,Southeast Queens,Annual Average 2017,01/01/2017,16.4
ppb,Southeast Queens,Annual Average 2021,01/01/2021,14.3
ppb,Coney Island - Sheepshead Bay,Annual Average 2012,12/01/2011,17.2
mcg/m3,Union Square - Lower East Side,Summer 2013,06/01/2013,11.5
mcg/m3,Union Square - Lower East Side,Winter 2021-22,12/01/2021,8.4
mcg/m3,Manhattan,Summer 2013,06/01/2013,11.8
mcg/m3,Pelham - Throgs Neck,Summer 2009,06/01/2009,10.4
mcg/m3,Bedford Stuyvesant - Crown Heights,Annual Average 2017,01/01/2017,7.5
mcg/m3,Bensonhurst - Bay Ridge,Annual Average 2011,12/01/2010,9.8
mcg/m3,Bensonhurst - Bay Ridge,Annual Average 2015,01/01/2015,8.1
mcg/m3,Bensonhurst - Bay Ridge,Annual Average 2020,01/01/2020,5.9
mcg/m3,Southeast Queens,Annual Average 2009,12/01/2008,9.4
mcg/m3,Coney Island - Sheepshead Bay,Annual Average 2020,01/01/2020,5.7
ppb,Southeast Queens,Annual Average 2012,12/01/2011,17.3
ppb,Southeast Queens,Summer 2022,06/01/2022,9.8
ppb,High Bridge - Morrisania,Annual Average 2018,01/01/2018,20.8
ppb,High Bridge - Morrisania,Summer 2021,06/01/2021,14.2
ppb,Bensonhurst - Bay Ridge,Summer 2013,06/01/2013,14
ppb,Rockaways,Annual Average 2018,01/01/2018,10.5
ppb,Rockaways,Summer 2021,06/01/2021,4.9
ppb,Southeast Queens,Winter 2021-22,12/01/2021,18.6
ppb,Southeast Queens,Annual Average 2016,12/31/2015,16.2
ppb,Southeast Queens,Annual Average 2018,01/01/2018,16.2
ppb,Southeast Queens,Summer 2021,06/01/2021,9.9
ppb,Bensonhurst - Bay Ridge,Annual Average 2021,01/01/2021,16
mcg/m3,Woodside and Sunnyside (CD2),Winter 2014-15,12/01/2014,10.9
mcg/m3,Hunts Point and Longwood (CD2),Annual Average 2013,12/01/2012,9.8
mcg/m3,Hunts Point and Longwood (CD2),Summer 2009,06/01/2009,11.5
mcg/m3,Woodside and Sunnyside (CD2),Annual Average 2016,12/31/2015,9.3
mcg/m3,Hunts Point and Longwood (CD2),Summer 2012,06/01/2012,11.2
mcg/m3,Greenwich Village and Soho (CD2),Winter 2021-22,12/01/2021,9.4
ppb,Williamsbridge and Baychester (CD12),Summer 2019,06/01/2019,11.7
ppb,Jamaica and Hollis (CD12),Annual Average 2011,12/01/2010,21.6
ppb,Jamaica and Hollis (CD12),Annual Average 2009,12/01/2008,22.3
ppb,Jamaica and Hollis (CD12),Summer 2014,06/01/2014,13.6
ppb,Jamaica and Hollis (CD12),Winter 2018-19,12/01/2018,19.9
ppb,Jamaica and Hollis (CD12),Annual Average 2020,01/01/2020,14.3
ppb,Williamsbridge and Baychester (CD12),Annual Average 2009,12/01/2008,22.1
ppb,Throgs Neck and Co-op City (CD10),Annual Average 2009,12/01/2008,21.3
ppb,Throgs Neck and Co-op City (CD10),Annual Average 2011,12/01/2010,20.4
ppb,Jamaica and Hollis (CD12),Winter 2010-11,12/01/2010,28.4
ppb,Jamaica and Hollis (CD12),Summer 2009,06/01/2009,18.5
ppb,Jamaica and Hollis (CD12),Annual Average 2013,12/01/2012,19.1
ppb,Jamaica and Hollis (CD12),Annual Average 2017,01/01/2017,17.8
ppb,Jamaica and Hollis (CD12),Annual Average 2021,01/01/2021,15.1
ppb,Williamsbridge and Baychester (CD12),Winter 2010-11,12/01/2010,25.4
ppb,Williamsbridge and Baychester (CD12),Annual Average 2013,12/01/2012,18
ppb,Williamsbridge and Baychester (CD12),Annual Average 2021,01/01/2021,15.6
ppb,Throgs Neck and Co-op City (CD10),Summer 2009,06/01/2009,17.2
ppb,Throgs Neck and Co-op City (CD10),Winter 2010-11,12/01/2010,26.4
ppb,South Ozone Park and Howard Beach (CD10),Winter 2014-15,12/01/2014,24.1
ppb,Throgs Neck and Co-op City (CD10),Annual Average 2017,01/01/2017,18.1
ppb,Throgs Neck and Co-op City (CD10),Annual Average 2021,01/01/2021,15.4
ppb,Williamsbridge and Baychester (CD12),Annual Average 2017,01/01/2017,18.4
ppb,Williamsburg - Bushwick,Winter 2010-11,12/01/2010,32.6
ppb,Williamsburg - Bushwick,Annual Average 2017,01/01/2017,20.7
ppb,Williamsburg - Bushwick,Annual Average 2021,01/01/2021,19
ppb,Williamsburg - Bushwick,Summer 2009,06/01/2009,23.1
ppb,Bensonhurst - Bay Ridge,Winter 2010-11,12/01/2010,28.4
ppb,Bensonhurst - Bay Ridge,Winter 2014-15,12/01/2014,24.9
ppb,Bensonhurst - Bay Ridge,Annual Average 2013,12/01/2012,18.6
ppb,Long Island City - Astoria,Winter 2018-19,12/01/2018,25.7
mcg/m3,Upper East Side,Annual Average 2012,12/01/2011,11.2
mcg/m3,Upper East Side,Summer 2022,06/01/2022,7.1
mcg/m3,Crotona -Tremont,Annual Average 2012,12/01/2011,10.2
mcg/m3,Upper East Side,Summer 2012,06/01/2012,12.1
mcg/m3,Flushing - Clearview,Summer 2012,06/01/2012,10.1
mcg/m3,Upper East Side,Summer 2021,06/01/2021,8.9
mcg/m3,Bedford Stuyvesant - Crown Heights,Summer 2021,06/01/2021,8.5
mcg/m3,Crotona -Tremont,Winter 2021-22,12/01/2021,7.3
mcg/m3,Upper East Side,Winter 2014-15,12/01/2014,11.1
mcg/m3,Flushing - Clearview,Summer 2009,06/01/2009,10.2
mcg/m3,Upper East Side,Annual Average 2021,01/01/2021,7
mcg/m3,Upper East Side,Summer 2009,06/01/2009,12.9
mcg/m3,Flushing - Clearview,Annual Average 2021,01/01/2021,6.5
mcg/m3,East Harlem,Annual Average 2021,01/01/2021,6.8
number,Upper East Side,2013,01/01/2013,95
number,East Harlem,2013,01/01/2013,11.6
number,Fordham - Bronx Pk,2013,01/01/2013,24.5
mcg/m3,Flushing - Clearview,Summer 2010,06/01/2010,11.6
mcg/m3,Upper East Side,Winter 2020-21,12/01/2020,7.1
mcg/m3,East Harlem,Summer 2021,06/01/2021,8.7
ppb,Upper East Side,Winter 2010-11,12/01/2010,35.9
ppb,Upper East Side,Winter 2014-15,12/01/2014,29.2
ppb,Upper East Side,Annual Average 2013,12/01/2012,28.6
ppb,Upper East Side,Summer 2009,06/01/2009,30.9
ppb,Flushing - Clearview,Winter 2014-15,12/01/2014,24
ppb,Upper East Side,Annual Average 2017,01/01/2017,25
ppb,Upper East Side,Annual Average 2021,01/01/2021,20.3
ppb,Bedford Stuyvesant - Crown Heights,Winter 2010-11,12/01/2010,32.2
ppb,Bedford Stuyvesant - Crown Heights,Annual Average 2021,01/01/2021,17.1
ppb,Bedford Stuyvesant - Crown Heights,Winter 2014-15,12/01/2014,26.4
ppb,Crotona -Tremont,Annual Average 2021,01/01/2021,17.6
ppb,Upper East Side,Annual Average 2012,12/01/2011,29.5
mcg/m3,Bedford Stuyvesant - Crown Heights,Winter 2021-22,12/01/2021,6.9
mcg/m3,Upper West Side (CD7),Winter 2010-11,12/01/2010,14.3
mcg/m3,Upper West Side (CD7),Annual Average 2013,12/01/2012,10.4
ppb,East New York,Summer 2009,06/01/2009,19.5
ppb,Upper West Side,Summer 2011,06/01/2011,25.8
ppb,Upper West Side,Winter 2015-16,12/01/2015,26.4
ppb,Upper West Side,Winter 2020-21,12/01/2020,22.8
ppb,Williamsburg - Bushwick,Winter 2020-21,12/01/2020,24.1
ppb,Upper West Side,Summer 2016,06/01/2016,19.1
ppb,East New York,Winter 2015-16,12/01/2015,23.3
ppb,East New York,Summer 2013,06/01/2013,16.6
ppb,Upper West Side,Annual Average 2009,12/01/2008,32
ppb,Upper West Side,Annual Average 2011,12/01/2010,29.3
ppb,Williamsburg - Bushwick,Summer 2014,06/01/2014,17
ppb,Pelham - Throgs Neck,Annual Average 2015,01/01/2015,19.4
ppb,Williamsburg - Bushwick,Winter 2018-19,12/01/2018,25.3
ppb,Upper West Side,Annual Average 2015,01/01/2015,23.9
ppb,East New York,Annual Average 2020,01/01/2020,15.7
ppb,Rockaway and Broad Channel (CD14),Annual Average 2010,12/01/2009,14
"per 100,000 children",Bayside - Little Neck,2012-2014,01/02/2012,13.4
"per 100,000 children",Bayside - Little Neck,2009-2011,01/01/2009,22.1
mcg/m3,Sunset Park (CD7),Summer 2009,06/01/2009,11.5
mcg/m3,Sunset Park (CD7),Winter 2010-11,12/01/2010,13.6
mcg/m3,Sunset Park (CD7),Annual Average 2017,01/01/2017,8.2
mcg/m3,Williamsburg - Bushwick,Annual Average 2019,01/01/2019,7.5
mcg/m3,Williamsburg - Bushwick,Winter 2017-18,12/01/2017,9.4
mcg/m3,Bayside - Little Neck,Winter 2017-18,12/01/2017,7.6
mcg/m3,Pelham - Throgs Neck,Winter 2008-09,12/01/2008,13.3
ppb,Upper West Side (CD7),Winter 2012-13,12/01/2012,30.6
ppb,Upper West Side (CD7),Annual Average 2010,12/01/2009,28.6
ppb,Rockaway and Broad Channel (CD14),Winter 2012-13,12/01/2012,18.8
ppb,Sunset Park (CD7),Summer 2014,06/01/2014,15.3
ppb,Rockaway and Broad Channel (CD14),Annual Average 2011,12/01/2010,14.2
ppb,Rockaway and Broad Channel (CD14),Annual Average 2009,12/01/2008,14.6
number,Chelsea - Clinton,2015,01/01/2015,36.4
number,Downtown - Heights - Slope,2015,01/01/2015,1.2
mcg/m3,Downtown - Heights - Slope,Summer 2022,06/01/2022,6.9
mcg/m3,Chelsea - Clinton,Annual Average 2012,12/01/2011,12.4
mcg/m3,Northeast Bronx,Summer 2022,06/01/2022,7.1
mcg/m3,Downtown - Heights - Slope,Winter 2021-22,12/01/2021,7.4
mcg/m3,Downtown - Heights - Slope,Summer 2021,06/01/2021,9.1
mcg/m3,Central Harlem - Morningside Heights,Summer 2013,06/01/2013,10.8
mcg/m3,Northeast Bronx,Summer 2013,06/01/2013,10.2
mcg/m3,Northeast Bronx,Annual Average 2013,12/01/2012,8.7
mcg/m3,Northeast Bronx,Winter 2010-11,12/01/2010,13.4
number,Central Harlem - Morningside Heights,2013,01/01/2013,15.7
number,Northeast Bronx,2013,01/01/2013,2.2
mcg/m3,Northeast Bronx,Summer 2010,06/01/2010,11.8
mcg/m3,Northeast Bronx,Winter 2015-16,12/01/2015,8.3
mcg/m3,Northeast Bronx,Winter 2021-22,12/01/2021,7.3
mcg/m3,Chelsea - Clinton,Winter 2021-22,12/01/2021,9.3
mcg/m3,Downtown - Heights - Slope,Summer 2012,06/01/2012,11.1
mcg/m3,Chelsea - Clinton,Annual Average 2018,01/01/2018,10
ppb,Central Harlem - Morningside Heights,Annual Average 2013,12/01/2012,25.4
ppb,Chelsea - Clinton,Annual Average 2021,01/01/2021,23.3
ppb,Northeast Bronx,Annual Average 2017,01/01/2017,18.9
ppb,Downtown - Heights - Slope,Annual Average 2021,01/01/2021,18.8
ppb,Chelsea - Clinton,Summer 2022,06/01/2022,19.5
mcg/m3,Central Harlem - Morningside Heights,Annual Average 2016,12/31/2015,8
mcg/m3,Downtown - Heights - Slope,Summer 2013,06/01/2013,11
