Name,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Start_Date,Data Value
Ozone (O3),ppb,UHF42,106.0,High Bridge - Morrisania,2022-06-01,31.5
Ozone (O3),ppb,UHF42,303.0,East Harlem,2022-06-01,31.6
Ozone (O3),ppb,UHF42,405.0,Ridgewood - Forest Hills,2022-06-01,34.2
Ozone (O3),ppb,UHF42,502.0,Stapleton - St. George,2022-06-01,34.8
Ozone (O3),ppb,UHF42,404.0,Bayside - Little Neck,2022-06-01,33.4
Ozone (O3),ppb,UHF42,503.0,Willowbrook,2022-06-01,34.8
Fine particles (PM 2.5),mcg/m3,UHF42,301.0,Washington Heights,2022-06-01,7.2
Nitrogen dioxide (NO2),ppb,UHF42,101.0,Kingsbridge - Riverdale,2022-06-01,10.6
Fine particles (PM 2.5),mcg/m3,UHF42,503.0,Willowbrook,2022-06-01,5.9
Nitrogen dioxide (NO2),ppb,UHF42,211.0,Williamsburg - Bushwick,2022-06-01,12.7
Nitrogen dioxide (NO2),ppb,UHF42,410.0,Rockaways,2022-06-01,7.0
Fine particles (PM 2.5),mcg/m3,UHF42,410.0,Rockaways,2022-06-01,5.5
Nitrogen dioxide (NO2),ppb,Borough,3.0,Manhattan,2022-06-01,15.4
Nitrogen dioxide (NO2),ppb,UHF42,309.0,Union Square - Lower East Side,2022-06-01,13.9
Fine particles (PM 2.5),mcg/m3,UHF42,502.0,Stapleton - St. George,2022-06-01,5.9
Nitrogen dioxide (NO2),ppb,UHF42,502.0,Stapleton - St. George,2022-06-01,8.7
Nitrogen dioxide (NO2),ppb,UHF42,304.0,Upper West Side,2022-06-01,14.7
Ozone (O3),ppb,UHF42,408.0,Jamaica,2022-06-01,34.4
Ozone (O3),ppb,CD,501.0,St. George and Stapleton (CD1),2022-06-01,34.2
Ozone (O3),ppb,CD,101.0,Financial District (CD1),2022-06-01,30.3
Ozone (O3),ppb,CD,301.0,Greenpoint and Williamsburg (CD1),2022-06-01,32.5
Ozone (O3),ppb,CD,502.0,South Beach and Willowbrook (CD2),2022-06-01,35.2
Ozone (O3),ppb,CD,402.0,Woodside and Sunnyside (CD2),2022-06-01,32.8
Nitrogen dioxide (NO2),ppb,CD,201.0,Mott Haven and Melrose (CD1),2022-06-01,14.0
Nitrogen dioxide (NO2),ppb,CD,502.0,South Beach and Willowbrook (CD2),2022-06-01,8.0
Ozone (O3),ppb,CD,412.0,Jamaica and Hollis (CD12),2022-06-01,34.6
Ozone (O3),ppb,CD,312.0,Borough Park (CD12),2022-06-01,35.1
Ozone (O3),ppb,CD,110.0,Central Harlem (CD10),2022-06-01,31.2
Ozone (O3),ppb,CD,112.0,Washington Heights and Inwood (CD12),2022-06-01,29.6
Ozone (O3),ppb,CD,310.0,Bay Ridge and Dyker Heights (CD10),2022-06-01,34.8
Ozone (O3),ppb,CD,108.0,Upper East Side (CD8),2022-06-01,30.7
Ozone (O3),ppb,CD,410.0,South Ozone Park and Howard Beach (CD10),2022-06-01,35.5
Ozone (O3),ppb,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),2022-06-01,34.4
Ozone (O3),ppb,CD,406.0,Rego Park and Forest Hills (CD6),2022-06-01,33.9
Nitrogen dioxide (NO2),ppb,CD,211.0,Morris Park and Bronxdale (CD11),2022-06-01,11.5
Nitrogen dioxide (NO2),ppb,CD,111.0,East Harlem (CD11),2022-06-01,13.0
Ozone (O3),ppb,CD,408.0,Hillcrest and Fresh Meadows (CD8),2022-06-01,33.9
Ozone (O3),ppb,CD,206.0,Belmont and East Tremont (CD6),2022-06-01,31.9
Nitrogen dioxide (NO2),ppb,CD,408.0,Hillcrest and Fresh Meadows (CD8),2022-06-01,10.5
Nitrogen dioxide (NO2),ppb,CD,104.0,Clinton and Chelsea (CD4),2022-06-01,17.8
Fine particles (PM 2.5),mcg/m3,UHF42,407.0,Southwest Queens,2022-06-01,6.2
Ozone (O3),ppb,CD,413.0,Queens Village (CD13),2022-06-01,34.7
Ozone (O3),ppb,CD,315.0,Sheepshead Bay (CD15),2022-06-01,36.8
Fine particles (PM 2.5),mcg/m3,CD,502.0,South Beach and Willowbrook (CD2),2022-06-01,5.9
Fine particles (PM 2.5),mcg/m3,CD,501.0,St. George and Stapleton (CD1),2022-06-01,6.1
Ozone (O3),ppb,CD,305.0,East New York and Starrett City (CD5),2022-06-01,34.6
Ozone (O3),ppb,CD,405.0,Ridgewood and Maspeth (CD5),2022-06-01,34.0
Nitrogen dioxide (NO2),ppb,CD,305.0,East New York and Starrett City (CD5),2022-06-01,10.7
Nitrogen dioxide (NO2),ppb,CD,405.0,Ridgewood and Maspeth (CD5),2022-06-01,11.2
Nitrogen dioxide (NO2),ppb,CD,105.0,Midtown (CD5),2022-06-01,22.5
Fine particles (PM 2.5),mcg/m3,CD,407.0,Flushing and Whitestone (CD7),2022-06-01,6.7
Nitrogen dioxide (NO2),ppb,UHF42,107.0,Hunts Point - Mott Haven,2022-06-01,13.4
Fine particles (PM 2.5),mcg/m3,CD,104.0,Clinton and Chelsea (CD4),2022-06-01,8.0
Fine particles (PM 2.5),mcg/m3,CD,315.0,Sheepshead Bay (CD15),2022-06-01,5.8
Nitrogen dioxide (NO2),ppb,CD,501.0,St. George and Stapleton (CD1),2022-06-01,9.3
Nitrogen dioxide (NO2),ppb,CD,402.0,Woodside and Sunnyside (CD2),2022-06-01,14.2
Nitrogen dioxide (NO2),ppb,Citywide,1.0,New York City,2022-06-01,10.6
Ozone (O3),ppb,Citywide,1.0,New York City,2022-06-01,34.1
Fine particles (PM 2.5),mcg/m3,Citywide,1.0,New York City,2022-06-01,6.4
Nitrogen dioxide (NO2),ppb,CD,407.0,Flushing and Whitestone (CD7),2022-06-01,11.1
Nitrogen dioxide (NO2),ppb,UHF42,401.0,Long Island City - Astoria,2022-06-01,13.2
Nitrogen dioxide (NO2),ppb,UHF42,209.0,Bensonhurst - Bay Ridge,2022-06-01,9.8
Nitrogen dioxide (NO2),ppb,UHF42,303.0,East Harlem,2022-06-01,13.0
Nitrogen dioxide (NO2),ppb,UHF42,503.0,Willowbrook,2022-06-01,8.3
Nitrogen dioxide (NO2),ppb,UHF42,504.0,South Beach - Tottenville,2022-06-01,6.9
Nitrogen dioxide (NO2),ppb,UHF42,404.0,Bayside - Little Neck,2022-06-01,10.7
Fine particles (PM 2.5),mcg/m3,UHF34,306308.0,Chelsea-Village,2022-06-01,8.2
Fine particles (PM 2.5),mcg/m3,UHF34,403.0,Flushing - Clearview,2022-06-01,6.6
Fine particles (PM 2.5),mcg/m3,UHF34,309310.0,Union Square-Lower Manhattan,2022-06-01,7.5
Fine particles (PM 2.5),mcg/m3,UHF34,205.0,Sunset Park,2022-06-01,6.7
Ozone (O3),ppb,CD,203.0,Morrisania and Crotona (CD3),2022-06-01,31.8
Ozone (O3),ppb,CD,317.0,East Flatbush (CD17),2022-06-01,34.9
Ozone (O3),ppb,CD,503.0,Tottenville and Great Kills (CD3),2022-06-01,36.0
Ozone (O3),ppb,CD,318.0,Flatlands and Canarsie (CD18),2022-06-01,36.2
Fine particles (PM 2.5),mcg/m3,UHF34,207.0,East Flatbush - Flatbush,2022-06-01,6.2
Fine particles (PM 2.5),mcg/m3,UHF34,408.0,Jamaica,2022-06-01,6.3
Fine particles (PM 2.5),mcg/m3,UHF34,401.0,Long Island City - Astoria,2022-06-01,7.2
Nitrogen dioxide (NO2),ppb,UHF34,204.0,East New York,2022-06-01,10.9
Ozone (O3),ppb,UHF34,104.0,Pelham - Throgs Neck,2022-06-01,33.3
Ozone (O3),ppb,UHF34,204.0,East New York,2022-06-01,34.4
Ozone (O3),ppb,UHF34,305307.0,Upper East Side-Gramercy,2022-06-01,29.9
Ozone (O3),ppb,UHF34,306308.0,Chelsea-Village,2022-06-01,29.3
Ozone (O3),ppb,CD,302.0,Fort Greene and Brooklyn Heights (CD2),2022-06-01,31.6
Ozone (O3),ppb,CD,102.0,Greenwich Village and Soho (CD2),2022-06-01,30.2
Nitrogen dioxide (NO2),ppb,CD,202.0,Hunts Point and Longwood (CD2),2022-06-01,14.2
Ozone (O3),ppb,CD,210.0,Throgs Neck and Co-op City (CD10),2022-06-01,33.6
Nitrogen dioxide (NO2),ppb,CD,108.0,Upper East Side (CD8),2022-06-01,15.3
Nitrogen dioxide (NO2),ppb,CD,310.0,Bay Ridge and Dyker Heights (CD10),2022-06-01,10.6
Nitrogen dioxide (NO2),ppb,CD,312.0,Borough Park (CD12),2022-06-01,10.3
Fine particles (PM 2.5),mcg/m3,CD,314.0,Flatbush and Midwood (CD14),2022-06-01,6.1
Ozone (O3),ppb,CD,414.0,Rockaway and Broad Channel (CD14),2022-06-01,37.6
Ozone (O3),ppb,CD,314.0,Flatbush and Midwood (CD14),2022-06-01,34.9
Fine particles (PM 2.5),mcg/m3,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),2022-06-01,6.3
Fine particles (PM 2.5),mcg/m3,CD,313.0,Coney Island (CD13),2022-06-01,5.8
Ozone (O3),ppb,CD,313.0,Coney Island (CD13),2022-06-01,37.7
Nitrogen dioxide (NO2),ppb,CD,315.0,Sheepshead Bay (CD15),2022-06-01,8.5
Ozone (O3),ppb,CD,308.0,Crown Heights and Prospect Heights (CD8),2022-06-01,33.4
Ozone (O3),ppb,CD,104.0,Clinton and Chelsea (CD4),2022-06-01,29.5
Nitrogen dioxide (NO2),ppb,CD,208.0,Riverdale and Fieldston (CD8),2022-06-01,10.6
Nitrogen dioxide (NO2),ppb,CD,205.0,Fordham and University Heights (CD5),2022-06-01,13.7
Fine particles (PM 2.5),mcg/m3,UHF42,406.0,Fresh Meadows,2022-06-01,6.3
Fine particles (PM 2.5),mcg/m3,UHF42,106.0,High Bridge - Morrisania,2022-06-01,7.1
Fine particles (PM 2.5),mcg/m3,UHF42,404.0,Bayside - Little Neck,2022-06-01,6.4
Fine particles (PM 2.5),mcg/m3,Borough,5.0,Staten Island,2022-06-01,5.8
Fine particles (PM 2.5),mcg/m3,UHF42,403.0,Flushing - Clearview,2022-06-01,6.6
Fine particles (PM 2.5),mcg/m3,UHF42,105.0,Crotona -Tremont,2022-06-01,7.2
Ozone (O3),ppb,Borough,2.0,Brooklyn,2022-06-01,34.7
Fine particles (PM 2.5),mcg/m3,CD,204.0,Highbridge and Concourse (CD4),2022-06-01,7.1
Fine particles (PM 2.5),mcg/m3,UHF42,207.0,East Flatbush - Flatbush,2022-06-01,6.2
Fine particles (PM 2.5),mcg/m3,Borough,1.0,Bronx,2022-06-01,7.1
Fine particles (PM 2.5),mcg/m3,Borough,2.0,Brooklyn,2022-06-01,6.3
Ozone (O3),ppb,CD,304.0,Bushwick (CD4),2022-06-01,33.7
Nitrogen dioxide (NO2),ppb,UHF34,203.0,Bedford Stuyvesant - Crown Heights,2022-06-01,11.4
Nitrogen dioxide (NO2),ppb,UHF34,303.0,East Harlem,2022-06-01,13.0
Nitrogen dioxide (NO2),ppb,UHF34,103.0,Fordham - Bronx Pk,2022-06-01,11.5
Fine particles (PM 2.5),mcg/m3,UHF34,203.0,Bedford Stuyvesant - Crown Heights,2022-06-01,6.5
Fine particles (PM 2.5),mcg/m3,UHF34,303.0,East Harlem,2022-06-01,7.0
Fine particles (PM 2.5),mcg/m3,UHF34,103.0,Fordham - Bronx Pk,2022-06-01,7.1
Fine particles (PM 2.5),mcg/m3,UHF34,104.0,Pelham - Throgs Neck,2022-06-01,7.0
Fine particles (PM 2.5),mcg/m3,UHF42,101.0,Kingsbridge - Riverdale,2022-06-01,7.1
Ozone (O3),ppb,CD,109.0,Morningside Heights and Hamilton Heights (CD9),2022-06-01,30.6
Ozone (O3),ppb,CD,311.0,Bensonhurst (CD11),2022-06-01,36.5
Ozone (O3),ppb,CD,411.0,Bayside and Little Neck (CD11),2022-06-01,33.7
Nitrogen dioxide (NO2),ppb,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),2022-06-01,10.6
Nitrogen dioxide (NO2),ppb,UHF34,210.0,Coney Island - Sheepshead Bay,2022-06-01,8.5
Nitrogen dioxide (NO2),ppb,UHF34,410.0,Rockaways,2022-06-01,7.0
Fine particles (PM 2.5),mcg/m3,UHF34,410.0,Rockaways,2022-06-01,5.5
Nitrogen dioxide (NO2),ppb,UHF42,207.0,East Flatbush - Flatbush,2022-06-01,10.2
Nitrogen dioxide (NO2),ppb,UHF42,307.0,Gramercy Park - Murray Hill,2022-06-01,19.6
Ozone (O3),ppb,UHF42,207.0,East Flatbush - Flatbush,2022-06-01,34.9
Nitrogen dioxide (NO2),ppb,UHF34,205.0,Sunset Park,2022-06-01,12.5
Fine particles (PM 2.5),mcg/m3,UHF34,409.0,Southeast Queens,2022-06-01,6.1
Ozone (O3),ppb,UHF42,208.0,Canarsie - Flatlands,2022-06-01,36.1
Ozone (O3),ppb,UHF42,307.0,Gramercy Park - Murray Hill,2022-06-01,28.9
Ozone (O3),ppb,Borough,1.0,Bronx,2022-06-01,32.2
Ozone (O3),ppb,UHF42,407.0,Southwest Queens,2022-06-01,35.2
Fine particles (PM 2.5),mcg/m3,CD,103.0,Lower East Side and Chinatown (CD3),2022-06-01,7.4
Fine particles (PM 2.5),mcg/m3,CD,303.0,Bedford Stuyvesant (CD3),2022-06-01,6.7
Fine particles (PM 2.5),mcg/m3,CD,404.0,Elmhurst and Corona (CD4),2022-06-01,6.8
Fine particles (PM 2.5),mcg/m3,CD,203.0,Morrisania and Crotona (CD3),2022-06-01,7.2
Fine particles (PM 2.5),mcg/m3,CD,317.0,East Flatbush (CD17),2022-06-01,6.2
Fine particles (PM 2.5),mcg/m3,UHF34,211.0,Williamsburg - Bushwick,2022-06-01,7.0
Fine particles (PM 2.5),mcg/m3,UHF34,501502.0,Northern SI,2022-06-01,6.0
Fine particles (PM 2.5),mcg/m3,UHF42,210.0,Coney Island - Sheepshead Bay,2022-06-01,5.8
Nitrogen dioxide (NO2),ppb,UHF34,501502.0,Northern SI,2022-06-01,8.9
Ozone (O3),ppb,CD,204.0,Highbridge and Concourse (CD4),2022-06-01,31.3
Nitrogen dioxide (NO2),ppb,CD,103.0,Lower East Side and Chinatown (CD3),2022-06-01,13.6
Nitrogen dioxide (NO2),ppb,CD,303.0,Bedford Stuyvesant (CD3),2022-06-01,11.9
Nitrogen dioxide (NO2),ppb,CD,203.0,Morrisania and Crotona (CD3),2022-06-01,13.1
Nitrogen dioxide (NO2),ppb,UHF34,401.0,Long Island City - Astoria,2022-06-01,13.2
Nitrogen dioxide (NO2),ppb,UHF34,206.0,Borough Park,2022-06-01,10.1
Fine particles (PM 2.5),mcg/m3,UHF34,206.0,Borough Park,2022-06-01,6.2
Fine particles (PM 2.5),mcg/m3,UHF34,208.0,Canarsie - Flatlands,2022-06-01,5.9
Nitrogen dioxide (NO2),ppb,UHF34,208.0,Canarsie - Flatlands,2022-06-01,8.6
Nitrogen dioxide (NO2),ppb,UHF34,105106107.0,South Bronx,2022-06-01,13.5
Fine particles (PM 2.5),mcg/m3,UHF42,103.0,Fordham - Bronx Pk,2022-06-01,7.1
Nitrogen dioxide (NO2),ppb,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,2022-06-01,10.7
Fine particles (PM 2.5),mcg/m3,CD,408.0,Hillcrest and Fresh Meadows (CD8),2022-06-01,6.3
Fine particles (PM 2.5),mcg/m3,CD,206.0,Belmont and East Tremont (CD6),2022-06-01,7.2
Fine particles (PM 2.5),mcg/m3,UHF42,208.0,Canarsie - Flatlands,2022-06-01,5.9
Fine particles (PM 2.5),mcg/m3,UHF42,107.0,Hunts Point - Mott Haven,2022-06-01,7.2
Fine particles (PM 2.5),mcg/m3,CD,402.0,Woodside and Sunnyside (CD2),2022-06-01,7.2
Fine particles (PM 2.5),mcg/m3,CD,301.0,Greenpoint and Williamsburg (CD1),2022-06-01,7.2
Fine particles (PM 2.5),mcg/m3,CD,201.0,Mott Haven and Melrose (CD1),2022-06-01,7.2
Fine particles (PM 2.5),mcg/m3,Borough,3.0,Manhattan,2022-06-01,7.5
Fine particles (PM 2.5),mcg/m3,UHF42,309.0,Union Square - Lower East Side,2022-06-01,7.6
Fine particles (PM 2.5),mcg/m3,UHF42,204.0,East New York,2022-06-01,6.4
Fine particles (PM 2.5),mcg/m3,UHF42,504.0,South Beach - Tottenville,2022-06-01,5.6
Nitrogen dioxide (NO2),ppb,UHF34,301.0,Washington Heights,2022-06-01,13.5
Fine particles (PM 2.5),mcg/m3,CD,405.0,Ridgewood and Maspeth (CD5),2022-06-01,6.7
Fine particles (PM 2.5),mcg/m3,UHF42,306.0,Chelsea - Clinton,2022-06-01,8.3
Fine particles (PM 2.5),mcg/m3,CD,413.0,Queens Village (CD13),2022-06-01,6.1
Fine particles (PM 2.5),mcg/m3,CD,211.0,Morris Park and Bronxdale (CD11),2022-06-01,7.1
Fine particles (PM 2.5),mcg/m3,CD,111.0,East Harlem (CD11),2022-06-01,7.1
Nitrogen dioxide (NO2),ppb,UHF34,201.0,Greenpoint,2022-06-01,14.1
Fine particles (PM 2.5),mcg/m3,UHF34,201.0,Greenpoint,2022-06-01,7.2
Fine particles (PM 2.5),mcg/m3,UHF34,101.0,Kingsbridge - Riverdale,2022-06-01,7.1
Nitrogen dioxide (NO2),ppb,CD,101.0,Financial District (CD1),2022-06-01,16.9
Ozone (O3),ppb,CD,207.0,Kingsbridge Heights and Bedford (CD7),2022-06-01,31.5
Nitrogen dioxide (NO2),ppb,CD,313.0,Coney Island (CD13),2022-06-01,8.2
Nitrogen dioxide (NO2),ppb,CD,413.0,Queens Village (CD13),2022-06-01,10.0
Ozone (O3),ppb,CD,201.0,Mott Haven and Melrose (CD1),2022-06-01,31.9
Ozone (O3),ppb,CD,202.0,Hunts Point and Longwood (CD2),2022-06-01,32.8
Ozone (O3),ppb,CD,401.0,Long Island City and Astoria (CD1),2022-06-01,33.6
Nitrogen dioxide (NO2),ppb,CD,401.0,Long Island City and Astoria (CD1),2022-06-01,12.0
Nitrogen dioxide (NO2),ppb,CD,301.0,Greenpoint and Williamsburg (CD1),2022-06-01,14.1
Ozone (O3),ppb,CD,208.0,Riverdale and Fieldston (CD8),2022-06-01,30.2
Nitrogen dioxide (NO2),ppb,CD,206.0,Belmont and East Tremont (CD6),2022-06-01,13.0
Nitrogen dioxide (NO2),ppb,CD,412.0,Jamaica and Hollis (CD12),2022-06-01,10.3
Nitrogen dioxide (NO2),ppb,CD,210.0,Throgs Neck and Co-op City (CD10),2022-06-01,11.7
Nitrogen dioxide (NO2),ppb,UHF42,310.0,Lower Manhattan,2022-06-01,16.7
Ozone (O3),ppb,CD,407.0,Flushing and Whitestone (CD7),2022-06-01,34.4
Ozone (O3),ppb,CD,307.0,Sunset Park (CD7),2022-06-01,33.5
Ozone (O3),ppb,CD,205.0,Fordham and University Heights (CD5),2022-06-01,31.2
Nitrogen dioxide (NO2),ppb,UHF42,203.0,Bedford Stuyvesant - Crown Heights,2022-06-01,11.4
Nitrogen dioxide (NO2),ppb,UHF42,403.0,Flushing - Clearview,2022-06-01,11.0
Nitrogen dioxide (NO2),ppb,UHF42,105.0,Crotona -Tremont,2022-06-01,13.6
Nitrogen dioxide (NO2),ppb,UHF42,103.0,Fordham - Bronx Pk,2022-06-01,11.5
Ozone (O3),ppb,CD,209.0,Parkchester and Soundview (CD9),2022-06-01,32.9
Nitrogen dioxide (NO2),ppb,UHF34,101.0,Kingsbridge - Riverdale,2022-06-01,10.6
Ozone (O3),ppb,UHF34,201.0,Greenpoint,2022-06-01,32.4
Fine particles (PM 2.5),mcg/m3,CD,503.0,Tottenville and Great Kills (CD3),2022-06-01,5.6
Fine particles (PM 2.5),mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,2022-06-01,8.0
Fine particles (PM 2.5),mcg/m3,UHF42,308.0,Greenwich Village - SoHo,2022-06-01,8.0
Fine particles (PM 2.5),mcg/m3,UHF42,408.0,Jamaica,2022-06-01,6.3
Fine particles (PM 2.5),mcg/m3,UHF34,503504.0,Southern SI,2022-06-01,5.7
Fine particles (PM 2.5),mcg/m3,UHF34,304.0,Upper West Side,2022-06-01,7.0
Fine particles (PM 2.5),mcg/m3,UHF34,204.0,East New York,2022-06-01,6.4
Fine particles (PM 2.5),mcg/m3,UHF34,305307.0,Upper East Side-Gramercy,2022-06-01,7.5
Fine particles (PM 2.5),mcg/m3,UHF34,407.0,Southwest Queens,2022-06-01,6.2
Fine particles (PM 2.5),mcg/m3,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,2022-06-01,6.3
Ozone (O3),ppb,UHF34,303.0,East Harlem,2022-06-01,31.6
